Trace
Swept SA
A.08.55,N9000A
497700000,-89.1239123487459
497710000,-88.8708124703108
497720000,-88.5780111809336
497730000,-87.6927243098984
497740000,-88.9237362289555
497750000,-89.469487446746
497760000,-89.4081014965822
497770000,-88.9668230820702
497780000,-88.6799214715737
497790000,-88.7641150119697
497800000,-89.0230770816464
497810000,-89.4646926464628
497820000,-89.426672498646
497830000,-88.8466592803874
497840000,-89.1254994239736
497850000,-88.3649818919737
497860000,-88.7333813959597
497870000,-88.4756232522779
497880000,-89.1403601924016
497890000,-89.336794619226
497900000,-89.1274919431
497910000,-88.7588846538607
497920000,-89.4120431601546
497930000,-88.4537211221386
497940000,-88.5705833674817
497950000,-89.0640943154228
497960000,-89.2705615430962
497970000,-89.0046473709321
497980000,-88.9698565944029
497990000,-88.732742353224
498000000,-88.6432803609544
498010000,-89.6003462292816
498020000,-89.6191519150577
498030000,-89.3520860998949
498040000,-88.9923548283224
498050000,-88.8476944882732
498060000,-88.8415459828332
498070000,-89.0704033683295
498080000,-88.7024189375647
498090000,-89.0471328998527
498100000,-88.582124071068
498110000,-88.6331961742563
498120000,-88.8208568932796
498130000,-89.4885413229494
498140000,-89.2970757389309
498150000,-89.2369436646526
498160000,-89.2327903905343
498170000,-89.2321536071909
498180000,-89.4570625984432
498190000,-89.1720287564516
498200000,-89.4084170438493
498210000,-89.4831815005242
498220000,-89.3777725171718
498230000,-88.6784468309412
498240000,-88.2439839950237
498250000,-88.9671364108567
498260000,-89.1914097226919
498270000,-88.7337273398294
498280000,-89.1067921523249
498290000,-88.9840643168148
498300000,-89.1616770445355
498310000,-89.1781537752763
498320000,-89.5998811794458
498330000,-88.9343035130714
498340000,-88.8994900389266
498350000,-89.4769916969967
498360000,-88.2305530711288
498370000,-88.4116620707387
498380000,-88.7014450274502
498390000,-88.8788786302291
498400000,-88.5601980210841
498410000,-87.8319980551936
498420000,-88.0598222208431
498430000,-89.0461671705946
498440000,-88.5299328160104
498450000,-88.371264909961
498460000,-88.9591160795569
498470000,-88.6287224549589
498480000,-88.5714868276
498490000,-88.9062371695535
498500000,-88.9183184921212
498510000,-89.1661281865542
498520000,-88.5967212231154
498530000,-89.0870655888356
498540000,-88.788878475754
498550000,-89.0812608376777
498560000,-89.0066513212729
498570000,-88.3815197457432
498580000,-88.7397956380456
498590000,-89.0201643297223
498600000,-88.3707162083378
498610000,-88.6068336308861
498620000,-89.1817084662778
498630000,-88.3347927323279
498640000,-88.3264242654048
498650000,-88.9311220977819
498660000,-88.7213226877567
498670000,-88.1819270294915
498680000,-89.3333416252139
498690000,-88.8402090780477
498700000,-88.6792252230872
498710000,-88.6684825267882
498720000,-88.6840917008683
498730000,-88.4760747639775
498740000,-88.7031682488232
498750000,-88.355245659137
498760000,-88.3376975352168
498770000,-88.3849663376862
498780000,-88.4585685681802
498790000,-88.4500761906036
498800000,-88.8359121986965
498810000,-88.5712942241702
498820000,-89.1469742588458
498830000,-88.3423885211575
498840000,-88.0095699734056
498850000,-88.6573550604094
498860000,-88.4537913590605
498870000,-88.5637486844929
498880000,-88.4083074187025
498890000,-88.5773886491236
498900000,-88.4186671046111
498910000,-88.2546280263312
498920000,-88.3404176296572
498930000,-88.7783456439376
498940000,-88.6974689688122
498950000,-88.1782921839543
498960000,-88.2413641078937
498970000,-88.3880576964596
498980000,-88.0993620739592
498990000,-89.0198244743819
499000000,-88.607327573636
499010000,-87.9744777036923
499020000,-88.4500131995761
499030000,-88.1791024424357
499040000,-88.7216963504646
499050000,-88.4845666242244
499060000,-88.2032563190656
499070000,-88.3621514442767
499080000,-88.3244101004881
499090000,-88.0775707486084
499100000,-88.2882209714097
499110000,-88.5466886823233
499120000,-88.1237620111672
499130000,-88.7261484727194
499140000,-88.837064276968
499150000,-88.6979493850308
499160000,-88.221662806698
499170000,-87.7015366383672
499180000,-88.4032579143368
499190000,-87.829506544387
499200000,-87.7171838036811
499210000,-88.763917764829
499220000,-88.0668839816738
499230000,-88.1058864216731
499240000,-88.1219977665202
499250000,-87.8196007208081
499260000,-87.6403254987205
499270000,-87.5179404612456
499280000,-87.7992835063285
499290000,-87.9944362216731
499300000,-88.1083089974842
499310000,-87.7209765296352
499320000,-87.7310694122858
499330000,-88.2265209439733
499340000,-87.7773995301924
499350000,-87.9208680875457
499360000,-87.4770106494969
499370000,-87.5639360684706
499380000,-87.8577877492044
499390000,-87.334531228343
499400000,-87.2818050957896
499410000,-87.2428993604878
499420000,-87.1725729565517
499430000,-86.7694067188145
499440000,-86.9230675506066
499450000,-86.1237396205012
499460000,-86.6998667219838
499470000,-86.6891317909279
499480000,-86.0693975568024
499490000,-86.2556373562481
499500000,-86.319304876968
499510000,-86.3615430024638
499520000,-85.1923893429838
499530000,-85.5059649276967
499540000,-85.4282781133471
499550000,-85.5788950804095
499560000,-84.9475744523766
499570000,-84.9128334776195
499580000,-84.6408794075366
499590000,-83.7083640862996
499600000,-83.2035891741402
499610000,-83.4082097733765
499620000,-83.6197221368481
499630000,-83.309377293324
499640000,-83.5376675993601
499650000,-83.8022307400061
499660000,-82.6307015536265
499670000,-82.9611111725235
499680000,-83.0648909509782
499690000,-82.8746606038965
499700000,-82.7630074423638
499710000,-82.6038543962376
499720000,-82.2906764607312
499730000,-81.6337439238396
499740000,-82.1188373152669
499750000,-81.1420422883926
499760000,-81.5848199907484
499770000,-81.418526974978
499780000,-80.7474325139237
499790000,-80.0900844890831
499800000,-77.1823677346643
499810000,-72.7650417915143
499820000,-67.4364477838268
499830000,-62.1603592328035
499840000,-57.3194536580312
499850000,-52.8811425820864
499860000,-48.8553310227427
499870000,-45.239799845579
499880000,-41.9881176964243
499890000,-39.0586644998732
499900000,-36.461659108882
499910000,-34.1597087774317
499920000,-32.1375841082171
499930000,-30.3780735940712
499940000,-28.9088752448098
499950000,-27.6715089466154
499960000,-26.6832007162897
499970000,-25.9650542596123
499980000,-25.4997452185041
499990000,-25.2323582200832
500000000,-25.2221534418851
500010000,-25.4677551507571
500020000,-25.9171890904324
500030000,-26.6091497584242
500040000,-27.5717319967238
500050000,-28.7890222900145
500060000,-30.235863692808
500070000,-31.9745526606977
500080000,-33.9751574033809
500090000,-36.2550405541719
500100000,-38.8441275933306
500110000,-41.7355509897236
500120000,-44.9646072446369
500130000,-48.5433144438027
500140000,-52.530509061503
500150000,-56.9047859179215
500160000,-61.76492036066
500170000,-66.9845038091774
500180000,-72.4184014774387
500190000,-76.9780223249046
500200000,-79.8848783436267
500210000,-81.0102434143927
500220000,-81.5778434658238
500230000,-81.376210478893
500240000,-81.9193772144351
500250000,-81.2441312575936
500260000,-82.0675736986595
500270000,-82.0943201662343
500280000,-82.7339773632703
500290000,-82.1779778486272
500300000,-82.6345961025956
500310000,-82.2835129752751
500320000,-82.8277567726338
500330000,-83.2146369609904
500340000,-82.8611512346142
500350000,-83.4463479745714
500360000,-83.3471307617557
500370000,-83.814610985203
500380000,-83.4372688150029
500390000,-84.1750114420474
500400000,-83.7289650897206
500410000,-84.1544481623353
500420000,-84.3135670845335
500430000,-84.4228735840974
500440000,-84.8752766752625
500450000,-85.2243899565151
500460000,-85.903353411426
500470000,-85.7665940946002
500480000,-85.9182682203084
500490000,-85.924885442382
500500000,-86.4956366532932
500510000,-86.3744753588098
500520000,-86.5098927136479
500530000,-86.6891213370991
500540000,-86.2770976228309
500550000,-86.8018511143298
500560000,-87.172648899362
500570000,-86.4841575176265
500580000,-87.3154084494533
500590000,-87.5678124438761
500600000,-87.378530911596
500610000,-87.3370109302438
500620000,-87.7228734468776
500630000,-87.8090932716802
500640000,-87.3113961163671
500650000,-86.9802030722519
500660000,-87.6623522121477
500670000,-87.9284510376112
500680000,-88.0072874351398
500690000,-87.4094459249427
500700000,-87.8820748682548
500710000,-87.8150549491142
500720000,-87.8876682315066
500730000,-88.0908709069389
500740000,-87.8242981321581
500750000,-88.1534606822883
500760000,-87.9001561380054
500770000,-87.6979102222453
500780000,-88.134850819085
500790000,-87.902186017583
500800000,-88.0250130446057
500810000,-88.6091672602907
500820000,-87.9089920453669
500830000,-88.7406371065948
500840000,-88.4509929095844
500850000,-87.7894648460642
