Trace
Swept SA
A.08.55,N9000A
499332000,-99.2600555067477
499336000,-99.0629140090419
499340000,-99.1558708252089
499344000,-99.0795301199694
499348000,-99.3715755696154
499352000,-98.9351983799055
499356000,-99.7704833366558
499360000,-99.5601792749624
499364000,-98.9510046002002
499368000,-99.1726605205444
499372000,-99.3544410959341
499376000,-99.5830846943622
499380000,-99.4009779924847
499384000,-99.3198064604214
499388000,-99.1353746996218
499392000,-99.0785255474576
499396000,-99.1307160422598
499400000,-99.064414626475
499404000,-99.0511734015014
499408000,-99.1964483339079
499412000,-98.9288433723357
499416000,-99.2554949522144
499420000,-99.5669340224887
499424000,-99.4777393570897
499428000,-98.9624097615778
499432000,-99.2378121276977
499436000,-98.9096042693131
499440000,-99.4561798215423
499444000,-99.0193614759037
499448000,-99.3211552104778
499452000,-99.235397965768
499456000,-99.1495311094096
499460000,-99.1420129175357
499464000,-99.0850149432228
499468000,-99.2492262430628
499472000,-99.255508695462
499476000,-99.2112038393437
499480000,-99.2843237683511
499484000,-99.2620205114253
499488000,-99.3470276360489
499492000,-99.2858612594366
499496000,-99.2849054887397
499500000,-99.1104411818181
499504000,-99.1908059061448
499508000,-98.9687300450242
499512000,-99.248521561931
499516000,-99.4983514663689
499520000,-99.2188864911999
499524000,-99.2688615651822
499528000,-99.0486629928965
499532000,-99.0998071218995
499536000,-99.6187632775892
499540000,-99.2868951415619
499544000,-99.5878937106006
499548000,-99.296069784634
499552000,-99.5513536070213
499556000,-98.9962851117074
499560000,-99.278268222664
499564000,-99.0061939881497
499568000,-99.2898565821326
499572000,-98.8913374269213
499576000,-99.1730028558204
499580000,-99.0416570429173
499584000,-99.8187255366982
499588000,-98.9474127416133
499592000,-99.2947000384114
499596000,-99.0355777461515
499600000,-98.8307816172293
499604000,-99.4321730322159
499608000,-99.0521576672944
499612000,-99.3728519709474
499616000,-99.0897923642944
499620000,-99.1444498334982
499624000,-99.0627474898959
499628000,-99.6093251385721
499632000,-99.2172762862965
499636000,-99.5234650656429
499640000,-99.3346557525993
499644000,-98.7475119332194
499648000,-99.0266032382553
499652000,-99.0934684216279
499656000,-99.0404978824789
499660000,-99.1358799269647
499664000,-98.9487489203226
499668000,-99.040451179837
499672000,-99.1411675292929
499676000,-99.402988606666
499680000,-99.3348134039532
499684000,-99.3158312603457
499688000,-99.0702885540765
499692000,-98.9997299554319
499696000,-99.3844685074803
499700000,-99.1470269315866
499704000,-99.0391285026558
499708000,-99.0177096715666
499712000,-99.0398510022027
499716000,-98.948613682486
499720000,-99.3061139024256
499724000,-98.6873032546789
499728000,-99.0887381300348
499732000,-99.0263082042879
499736000,-99.0616554440774
499740000,-98.822118471636
499744000,-99.0857530027933
499748000,-99.4139532038681
499752000,-99.2807927813198
499756000,-98.5025549634122
499760000,-99.3855700251627
499764000,-99.0769471316849
499768000,-99.4400877009216
499772000,-99.714585475563
499776000,-99.1841671351033
499780000,-99.2203958789095
499784000,-98.7526209029088
499788000,-99.1170039361967
499792000,-98.8859809315688
499796000,-99.1966322682411
499800000,-98.561725985361
499804000,-98.9863968265471
499808000,-98.618295978215
499812000,-98.6287726656477
499816000,-98.695243016146
499820000,-99.1114991109435
499824000,-98.9909482122901
499828000,-98.9627125882315
499832000,-98.7011704461653
499836000,-99.042856749065
499840000,-98.7354955199341
499844000,-98.944611381689
499848000,-98.5957684746809
499852000,-98.8302422500576
499856000,-98.6168363384404
499860000,-98.66680320516
499864000,-99.0394577827128
499868000,-98.8022486847471
499872000,-98.5195194190425
499876000,-98.800421913941
499880000,-98.4852109720432
499884000,-98.3646845600918
499888000,-98.7872698888892
499892000,-98.8787686067254
499896000,-99.2521046436611
499900000,-99.0268041034862
499904000,-98.6861392091436
499908000,-98.80496829028
499912000,-99.2720179899357
499916000,-99.1584602168958
499920000,-99.1010376770157
499924000,-98.8955291208013
499928000,-98.7665309501431
499932000,-98.573610144249
499936000,-99.0563106290288
499940000,-98.8493316423867
499944000,-99.0243427228812
499948000,-98.6232120403406
499952000,-98.8160024478855
499956000,-98.6147178680406
499960000,-98.7623408275979
499964000,-98.8847007233782
499968000,-99.1090641404795
499972000,-99.0534822031066
499976000,-99.4766023812913
499980000,-93.7599914485794
499984000,-74.6818413230588
499988000,-60.7843479965042
499992000,-51.7283119261733
499996000,-46.7024511612575
500000000,-45.3246343139439
500004000,-47.5461109628291
500008000,-53.4803711257808
500012000,-63.6170994846711
500016000,-78.8786301484582
500020000,-97.3785446248132
500024000,-98.8495906270756
500028000,-99.121946006465
500032000,-98.5802053188433
500036000,-98.421513097956
500040000,-98.995258019457
500044000,-98.8384846215289
500048000,-99.3728454325468
500052000,-98.6891308528902
500056000,-98.717759939662
500060000,-98.9565788981828
500064000,-98.6662518892012
500068000,-98.4853165050786
500072000,-98.8548453866673
500076000,-98.3698756788221
500080000,-98.6093571215484
500084000,-98.8608148033881
500088000,-98.7126894116048
500092000,-98.7854670657689
500096000,-98.7258203651145
500100000,-98.5064693543538
500104000,-98.6749075594843
500108000,-98.9395375343351
500112000,-98.8225615273148
500116000,-98.499733052226
500120000,-98.8985949272021
500124000,-98.7218421295022
500128000,-98.7412058481462
500132000,-98.9950888102979
500136000,-98.7377850488954
500140000,-98.815936985209
500144000,-98.8883779295089
500148000,-99.2329116161198
500152000,-98.8402532000494
500156000,-98.9083510581553
500160000,-99.1295890810934
